talk|1776405802|1|265
important|1776405802|1|250
bag|1776405802|1|265
time|1776405802|1|265
join|0|0|250
year|0|0|250
open|0|0|250
well|0|0|250
last|0|0|250
many|0|0|250
can|0|0|250
part|0|0|250
want|1776526976|1|265
into|0|0|250
decide|1776472392|0|230
car|1776526976|1|265
view|0|0|250
end|1776440576|0|230
jump|1776558792|1|265
include|0|0|250
room|0|0|250
eat|0|0|250
know|0|0|250
job|0|0|250
man|0|0|250
see|0|0|250
day|0|0|250
work|0|0|250
old|1776526976|1|265
get|1776919225|0|230
account|1777166131|1|265
very|0|0|250
one|1776558792|1|265
just|1776558792|1|265
question|1776558792|1|250
accept|0|0|250
box|0|0|250
key|0|0|250
new|0|0|250
use|0|0|250
say|0|0|250
yes|1776528330|1|265
way|0|0|250
run|0|0|250
temperature|0|0|250
do|0|0|250
zoo|0|0|250
put|0|0|250
go|0|0|250
family|0|0|250
people|1776440576|0|230
place|0|0|250
large|0|0|250
up|1777005625|1|265
leave|0|0|250
learn|0|0|250
face|0|0|250
each|0|0|250
back|1776526976|1|265
idea|0|0|250
able|0|0|250
small|1776528330|1|265
night|0|0|250
deal|0|0|250
about|0|0|250
quick|0|0|250
early|0|0|250
under|0|0|250
think|0|0|250
right|0|0|250
game|0|0|250
hand|0|0|250
care|0|0|250
read|0|0|250
need|0|0|250
call|1776441930|0|230
make|0|0|250
happy|0|0|250
fact|1776528330|1|265
baby|0|0|250
fall|0|0|250
name|0|0|250
quiet|0|0|250
have|0|0|250
take|1776526976|1|265
keep|0|0|250
kind|1776526976|1|265
help|0|0|250
start|1776558792|1|265
visit|1776526976|1|265
meet|0|0|250
give|0|0|250
bad|0|0|250
